,tweet_vader_score,tweet_neg_score,tweet_pos_score,tweet_neu_score,tweet_source,tweet_text,tweet_date
0,0.0,0.0,0.0,1.0,CNN,"¡Ay, caramba! A real-life Kwik-E-Mart store has opened https://t.co/ehx0INie7X https://t.co/umgRElnicf",Wed Aug 22 00:44:09 +0000 2018
1,0.0,0.0,0.0,1.0,CNN,"This family has been traveling the globe by sailboat for a decade, homeschooling their children and seeing the worl… https://t.co/Ab5RUNev9I",Wed Aug 22 00:41:00 +0000 2018
2,0.128,0.0,0.057,0.943,CNN,"RT @OutFrontCNN: ""I think when the President and his legal team come forward and tell their side of the story I think you are going to see…",Wed Aug 22 00:37:32 +0000 2018
3,0.0,0.0,0.0,1.0,CNN,Cowabunga! A real-life Kwik-E-Mart store has opened https://t.co/ehx0INie7X https://t.co/KwZJOQQEDV,Wed Aug 22 00:26:43 +0000 2018
4,0.0,0.0,0.0,1.0,CNN,"Ep3 of “RBG: Beyond Notorious” takes us back to the 90's, when Ginsburg was nominated by Pres. Clinton:… https://t.co/5lDXfMx8uC",Wed Aug 22 00:25:21 +0000 2018
5,0.4201,0.0,0.097,0.903,CNN,"RT @AC360: .@andersoncooper: Of all the days we have seen, we have not seen a day quite like this.

The man who once said he would take a b…",Wed Aug 22 00:23:18 +0000 2018
6,0.0,0.0,0.0,1.0,CNN,"The Eagles now have the top-selling album in history, surpassing Michael Jackson's ""Thriller""… https://t.co/luwooLyXnc",Wed Aug 22 00:21:10 +0000 2018
7,0.0,0.0,0.0,1.0,CNN,"RT @OutFrontCNN: ""My concern is that the President reacts and begins beyond just obstructing the investigation. I think he talks more serio…",Wed Aug 22 00:19:16 +0000 2018
8,0.0,0.0,0.0,1.0,CNN,"We're going to a lot of different states. And I’m coming back here before the election."" Speaking at a rally in Wes… https://t.co/5cLFn77hJT",Wed Aug 22 00:12:42 +0000 2018
9,0.0,0.0,0.0,1.0,CNN,"Facebook has taken down 652 pages, accounts and groups it says were part of a coordinated disinformation campaign.… https://t.co/yOJx9N4qY1",Tue Aug 21 23:52:22 +0000 2018
10,-0.8316,0.355,0.0,0.645,CNN,"Former Trump campaign chairman Paul Manafort was found guilty on:
• 5 counts of tax fraud
• 1 charge of hiding fore… https://t.co/Wl5WtjkyXT",Tue Aug 21 23:44:33 +0000 2018
11,-0.4215,0.128,0.0,0.872,CNN,"RT @OutFrontCNN: President Trump is holding a rally in Charleston, West Virginia, hours after his former personal attorney pleaded guilty t…",Tue Aug 21 23:37:14 +0000 2018
